Food Name,Category,Calories (per 100g),Carbs (g),Fiber (g),Protein (g),Fat (g),GI Score,Diabetic-friendly (Yes/No),Common Dishes
Bitter Gourd (Korola),Vegetables,284,55.4,6.6,39.7,34.8,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,171,26.4,3.9,12.5,3.6,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,170,56.8,5.4,31.7,40.7,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,386,43.4,11.6,34.7,4.4,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,315,43.6,5.9,39.5,46.6,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,282,0.8,7.1,17.7,22.1,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,325,57.6,5.8,39.6,46.2,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,352,36.8,7.8,39.7,18.1,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,387,59.6,6.8,22.8,7.4,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,47,12.6,11.7,33.9,26.6,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,138,15.8,6.4,22.8,49.4,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,123,15.2,8.1,17.4,29.7,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,443,21.7,13.9,35.0,49.8,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,66,7.9,2.3,23.6,1.6,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,179,35.4,13.9,6.7,32.5,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,585,21.5,11.4,5.6,14.0,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,105,12.3,9.5,39.9,45.8,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,513,6.9,6.0,32.7,6.1,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,95,24.0,2.8,23.6,7.2,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,151,57.5,7.4,20.6,24.6,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,480,7.4,9.0,35.2,18.1,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,206,21.9,13.7,13.0,25.9,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,403,4.3,10.9,14.8,31.9,Medium,No,Bitter dish
Carrots (Gajor),Vegetables,387,60.6,2.2,29.0,39.6,High,No,Carrots dish
Carrots (Gajor),Vegetables,471,12.9,1.3,8.4,39.3,High,No,Carrots dish
Carrots (Gajor),Vegetables,452,22.7,7.2,14.9,38.5,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,473,61.5,7.3,34.4,1.2,High,No,Carrots dish
Carrots (Gajor),Vegetables,306,18.1,8.6,15.3,9.3,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,486,68.9,6.7,8.1,37.3,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,254,8.2,1.8,16.4,3.8,High,No,Carrots dish
Carrots (Gajor),Vegetables,135,32.8,13.5,6.4,37.0,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,387,43.9,6.0,25.8,44.3,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,209,70.0,11.7,0.9,39.2,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,411,55.2,4.6,12.1,14.6,High,No,Carrots dish
Carrots (Gajor),Vegetables,39,32.0,1.9,13.2,33.8,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,444,64.8,14.6,24.1,49.1,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,585,44.0,10.4,31.2,42.7,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,254,21.5,2.1,2.2,14.1,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,538,24.0,10.9,31.0,30.0,High,No,Carrots dish
Carrots (Gajor),Vegetables,487,30.6,13.9,35.6,22.8,High,No,Carrots dish
Carrots (Gajor),Vegetables,522,19.4,14.9,9.8,40.3,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,160,41.8,7.1,31.3,23.2,High,No,Carrots dish
Carrots (Gajor),Vegetables,563,51.2,9.6,39.6,20.8,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,171,68.2,12.0,27.6,29.3,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,290,41.9,11.7,32.4,34.6,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,406,40.4,3.4,37.5,41.0,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,566,40.6,4.5,26.2,47.3,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,311,31.2,13.2,17.3,49.0,High,No,Carrots dish
Carrots (Gajor),Vegetables,367,15.1,13.5,3.5,42.5,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,186,57.6,8.6,39.3,22.5,High,No,Carrots dish
Carrots (Gajor),Vegetables,225,8.3,12.7,38.4,5.2,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,53,40.0,2.5,10.7,12.2,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,221,40.0,14.0,16.6,44.0,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,59,33.1,5.8,15.8,23.6,High,No,Carrots dish
Carrots (Gajor),Vegetables,143,23.5,0.3,6.0,46.2,High,No,Carrots dish
Carrots (Gajor),Vegetables,207,56.6,4.6,9.5,28.2,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,405,21.1,6.4,27.7,15.0,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,105,39.0,2.0,28.4,16.9,High,No,Carrots dish
Carrots (Gajor),Vegetables,351,37.6,2.9,12.6,11.3,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,430,70.0,9.9,39.8,39.3,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,206,34.3,5.0,9.0,35.2,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,585,63.6,10.9,6.2,33.3,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,58,42.0,4.2,16.0,40.2,High,No,Carrots dish
Carrots (Gajor),Vegetables,466,9.4,12.0,38.9,27.1,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,316,43.2,10.8,32.7,35.2,High,No,Carrots dish
Carrots (Gajor),Vegetables,72,24.9,6.7,38.8,32.2,Medium,No,Carrots dish
Carrots (Gajor),Vegetables,228,27.8,7.9,16.0,29.4,High,No,Carrots dish
Carrots (Gajor),Vegetables,174,40.9,13.5,1.7,6.7,High,No,Carrots dish
Carrots (Gajor),Vegetables,58,23.5,0.9,21.7,23.4,High,No,Carrots dish
Carrots (Gajor),Vegetables,386,5.0,14.4,12.0,43.5,High,No,Carrots dish
Carrots (Gajor),Vegetables,442,49.1,7.2,39.3,40.1,High,No,Carrots dish
Carrots (Gajor),Vegetables,93,65.7,6.5,5.7,40.7,Low,Yes,Carrots dish
Carrots (Gajor),Vegetables,107,2.6,3.9,10.5,11.5,Low,Yes,Carrots dish
Green Beans (Barbati),Vegetables,262,32.0,13.9,16.1,25.1,Medium,No,Green dish
Green Beans (Barbati),Vegetables,298,35.8,12.6,37.6,4.2,Medium,No,Green dish
Green Beans (Barbati),Vegetables,340,44.5,1.0,9.2,47.9,Medium,No,Green dish
Green Beans (Barbati),Vegetables,555,66.5,0.1,31.3,35.3,Medium,No,Green dish
Green Beans (Barbati),Vegetables,123,32.7,6.7,6.6,14.8,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,290,55.8,14.9,37.8,33.7,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,288,34.7,14.5,1.8,47.4,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,116,62.5,3.8,3.0,25.8,Medium,No,Green dish
Green Beans (Barbati),Vegetables,487,37.4,0.7,12.9,29.3,High,No,Green dish
Green Beans (Barbati),Vegetables,86,23.6,13.7,11.4,19.5,High,No,Green dish
Green Beans (Barbati),Vegetables,55,18.3,2.9,25.3,32.4,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,530,23.9,3.6,32.2,46.3,High,No,Green dish
Green Beans (Barbati),Vegetables,538,32.6,13.7,38.5,36.6,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,91,64.3,11.3,21.5,33.7,Medium,No,Green dish
Green Beans (Barbati),Vegetables,201,38.0,14.2,8.3,32.1,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,198,15.0,6.6,22.3,24.7,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,95,29.5,13.3,27.7,32.9,Medium,No,Green dish
Green Beans (Barbati),Vegetables,272,58.3,13.6,22.7,5.6,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,386,45.2,4.6,17.8,36.6,High,No,Green dish
Green Beans (Barbati),Vegetables,20,61.0,2.6,3.4,43.2,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,25,23.8,2.3,37.2,4.1,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,568,56.5,11.6,10.6,37.3,Medium,No,Green dish
Green Beans (Barbati),Vegetables,301,29.1,4.9,24.1,46.8,High,No,Green dish
Green Beans (Barbati),Vegetables,51,19.6,1.9,38.5,34.7,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,500,61.1,5.0,33.3,16.5,High,No,Green dish
Green Beans (Barbati),Vegetables,130,56.1,7.2,18.9,2.5,Medium,No,Green dish
Green Beans (Barbati),Vegetables,205,28.4,12.9,1.7,29.9,High,No,Green dish
Green Beans (Barbati),Vegetables,84,38.0,10.5,16.9,40.8,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,28,17.7,5.3,38.5,15.3,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,210,6.1,5.4,30.1,14.4,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,21,44.5,2.6,22.1,42.1,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,98,41.7,9.7,2.5,16.0,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,253,29.1,1.7,9.8,41.9,Medium,No,Green dish
Green Beans (Barbati),Vegetables,216,9.2,1.7,14.7,17.2,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,431,14.7,11.4,7.5,43.0,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,253,40.7,14.9,15.9,32.5,High,No,Green dish
Green Beans (Barbati),Vegetables,583,55.6,8.3,5.5,25.4,Medium,No,Green dish
Green Beans (Barbati),Vegetables,355,47.4,12.1,35.0,45.1,Medium,No,Green dish
Green Beans (Barbati),Vegetables,478,35.8,13.6,23.9,2.6,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,475,43.0,1.6,5.4,5.9,High,No,Green dish
Green Beans (Barbati),Vegetables,411,25.1,14.9,19.8,25.8,High,No,Green dish
Green Beans (Barbati),Vegetables,161,26.2,6.2,8.8,34.1,High,No,Green dish
Green Beans (Barbati),Vegetables,193,12.4,0.7,3.0,28.3,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,270,34.9,5.7,11.4,13.0,High,No,Green dish
Green Beans (Barbati),Vegetables,148,50.7,1.8,12.4,20.4,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,411,58.2,13.5,19.1,42.0,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,37,35.2,5.1,16.9,6.2,Low,Yes,Green dish
Green Beans (Barbati),Vegetables,453,16.6,7.2,13.2,34.2,High,No,Green dish
Green Beans (Barbati),Vegetables,344,69.5,9.0,3.4,47.4,Medium,No,Green dish
Green Beans (Barbati),Vegetables,240,38.9,9.3,14.6,43.7,Low,Yes,Green dish
Tomatoes (Tomato),Vegetables,93,69.4,7.7,8.6,26.8,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,517,42.2,9.5,0.6,44.7,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,245,40.9,3.5,24.5,40.4,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,470,30.7,10.4,14.2,31.5,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,75,22.6,0.3,4.7,31.3,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,405,61.8,2.7,15.3,34.1,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,288,2.9,13.5,39.1,39.8,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,408,6.4,10.9,15.7,21.9,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,97,41.1,13.3,8.3,9.5,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,562,15.7,3.2,19.4,5.0,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,472,4.3,0.6,13.8,7.3,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,517,5.0,0.7,2.3,49.5,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,461,22.7,3.8,29.4,18.2,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,253,50.4,13.1,19.3,14.8,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,245,56.5,14.6,28.1,1.5,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,152,1.7,1.0,5.1,47.7,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,410,50.6,0.1,29.1,47.1,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,253,19.4,8.3,2.0,40.3,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,521,14.7,9.0,39.7,25.3,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,89,23.3,4.0,26.9,25.7,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,104,52.9,14.4,11.9,42.1,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,346,37.0,3.7,31.7,8.7,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,506,8.1,3.8,2.8,41.3,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,20,64.7,4.5,19.2,42.3,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,44,28.2,3.2,37.1,15.2,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,300,69.1,5.3,19.4,31.5,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,514,39.1,7.5,33.5,43.8,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,405,55.1,9.9,40.0,35.5,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,276,42.7,13.8,34.7,28.3,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,143,45.8,13.5,4.8,8.7,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,65,10.3,3.0,33.4,21.8,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,454,56.1,7.1,28.4,23.0,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,439,5.6,8.0,11.2,27.4,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,590,65.7,3.8,33.7,15.6,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,452,5.0,11.5,21.1,42.1,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,27,6.3,5.8,3.0,46.9,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,528,36.7,0.7,7.5,29.7,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,341,18.8,4.0,17.6,36.1,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,475,68.7,6.8,33.4,8.5,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,244,34.1,9.1,28.5,17.7,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,543,50.7,3.3,36.9,36.4,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,487,18.6,2.1,28.6,44.5,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,400,59.1,10.1,6.0,10.8,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,83,10.9,3.0,27.0,22.8,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,181,32.6,10.8,21.7,25.6,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,311,23.4,14.3,22.1,10.4,High,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,68,24.2,0.6,34.6,31.2,Low,Yes,Tomatoes dish
Tomatoes (Tomato),Vegetables,586,22.5,2.1,26.0,15.4,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,274,4.1,4.9,36.7,40.9,Medium,No,Tomatoes dish
Tomatoes (Tomato),Vegetables,279,33.9,11.9,10.5,2.3,Low,Yes,Tomatoes dish
Bottle Gourd (Lau),Vegetables,219,3.2,0.3,11.1,28.4,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,123,54.6,4.3,24.8,49.4,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,237,15.1,5.2,3.1,0.3,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,594,12.1,14.4,28.3,30.7,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,242,7.3,0.7,38.7,9.8,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,96,50.6,8.7,39.3,16.3,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,583,48.6,3.9,1.3,46.3,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,332,2.0,2.0,33.2,34.5,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,419,37.7,5.3,13.5,48.8,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,91,62.1,4.6,21.2,21.7,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,84,57.2,8.4,19.6,49.4,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,542,37.7,13.5,29.0,15.3,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,600,5.3,4.3,3.2,46.7,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,309,2.2,12.5,27.9,21.0,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,43,62.3,1.1,20.2,31.3,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,566,42.1,14.1,20.5,21.5,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,498,12.4,6.2,25.9,5.8,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,256,40.1,6.3,37.7,18.0,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,108,0.8,5.9,4.4,18.8,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,41,50.9,14.1,34.4,47.1,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,519,66.6,12.8,34.1,40.7,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,317,17.0,8.4,11.4,22.1,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,20,36.6,10.8,11.1,16.4,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,458,22.2,12.9,33.6,10.7,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,399,0.8,13.6,35.2,3.7,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,247,61.8,11.3,27.8,28.3,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,432,66.1,14.1,27.2,1.4,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,146,28.5,12.9,31.4,20.3,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,538,7.6,13.4,35.7,0.3,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,245,47.3,0.9,3.0,44.5,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,338,52.4,12.0,28.8,44.1,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,272,56.7,3.1,32.5,29.3,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,128,2.9,4.7,33.2,13.2,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,259,23.8,11.6,21.0,24.2,Medium,No,Bottle dish
